조사일,수온(℃),pH,DO(㎎/L),투명도,탁도,Chl-a (㎎/㎥),TN(㎎/L),TP(㎎/L),수위(EL.m),저수량(백만㎥),저수율(%),강우량(mm),유입량(㎥/s),총방류량(㎥/s),지점,평균기온(°C),일강수량(mm),합계 일조시간(hr),합계 일사량(MJ/m2),NP_Ratio,Retention_Index,채수위치,유해남조류 세포수 (cells/㎖)
2026-01-20,7.057142857142857,7.728571428571429,11.071428571428571,4.057142857142857,1.4285714285714286,4.7,1.5,0.007,73.96172857142857,1036.0728857142858,69.53142857142858,0.28135714285714286,17.361428571428572,33.16457142857143,133.0,-1.4285714285714286,1.2,3.7285714285714286,6.651428571428571,214.28571428571428,31.240276271123374,회남,311.0
2026-01-21,7.357142857142857,7.614285714285715,10.7,3.142857142857143,1.4714285714285713,3.0142857142857142,1.4248620689655171,0.008310344827586207,73.93945714285714,1034.7338714285715,69.44285714285715,0.23901428571428568,17.524857142857144,33.14714285714286,133.0,-1.3571428571428572,1.1,3.757142857142857,6.8028571428571425,172.20689655172413,31.216255634284604,추동,38.857142857142854
2026-01-21,7.014285714285714,7.657142857142857,11.042857142857143,4.014285714285714,1.457142857142857,4.7,1.5,0.007,73.93945714285714,1034.7338714285715,69.44285714285715,0.23901428571428568,17.524857142857144,33.14714285714286,133.0,-1.3571428571428572,1.1,3.757142857142857,6.8028571428571425,214.28571428571428,31.216255634284604,회남,319.0
2026-01-21,7.428571428571429,7.485714285714286,9.77142857142857,2.642857142857143,2.3857142857142857,3.3285714285714287,1.407,0.017285714285714286,73.93945714285714,1034.7338714285715,69.44285714285715,0.23901428571428568,17.524857142857144,33.14714285714286,133.0,-1.3571428571428572,1.1,3.757142857142857,6.8028571428571425,84.77639751552795,31.216255634284604,문의,114.28571428571428
2026-01-22,7.285714285714286,7.571428571428572,10.7,3.2142857142857144,1.457142857142857,3.371428571428571,1.4220689655172414,0.008344827586206896,73.91718571428571,1033.3948571428573,69.35428571428572,0.19667142857142855,17.688285714285715,33.129714285714286,133.0,-1.2857142857142858,1.0,3.7857142857142856,6.954285714285714,171.20210727969348,31.19223499744583,추동,58.285714285714285
2026-01-22,6.9714285714285715,7.585714285714285,11.014285714285714,3.971428571428571,1.4857142857142858,4.7,1.5,0.007,73.91718571428571,1033.3948571428573,69.35428571428572,0.19667142857142855,17.688285714285715,33.129714285714286,133.0,-1.2857142857142858,1.0,3.7857142857142856,6.954285714285714,214.28571428571428,31.19223499744583,회남,327.0
2026-01-22,7.442857142857143,7.428571428571429,9.657142857142857,2.6142857142857143,2.2285714285714286,3.242857142857143,1.3980000000000001,0.018428571428571426,73.91718571428571,1033.3948571428573,69.35428571428572,0.19667142857142855,17.688285714285715,33.129714285714286,133.0,-1.2857142857142858,1.0,3.7857142857142856,6.954285714285714,79.66459627329192,31.19223499744583,문의,91.42857142857143
2026-01-23,6.928571428571428,7.514285714285714,10.985714285714286,3.9285714285714284,1.5142857142857142,4.7,1.5,0.007,73.8949142857143,1032.0558428571428,69.26571428571428,0.1543285714285714,17.851714285714284,33.11228571428572,133.0,-1.2142857142857144,0.9,3.8142857142857145,7.105714285714286,214.28571428571428,31.16821436060706,회남,335.0
2026-01-23,7.457142857142857,7.371428571428571,9.542857142857143,2.585714285714286,2.0714285714285716,3.157142857142857,1.389,0.01957142857142857,73.8949142857143,1032.0558428571428,69.26571428571428,0.1543285714285714,17.851714285714284,33.11228571428572,133.0,-1.2142857142857144,0.9,3.8142857142857145,7.105714285714286,74.5527950310559,31.16821436060706,문의,68.57142857142857
2026-01-23,7.214285714285714,7.5285714285714285,10.7,3.2857142857142856,1.4428571428571428,3.7285714285714286,1.4192758620689654,0.008379310344827586,73.8949142857143,1032.0558428571428,69.26571428571428,0.1543285714285714,17.851714285714284,33.11228571428572,133.0,-1.2142857142857144,0.9,3.8142857142857145,7.105714285714286,170.19731800766283,31.16821436060706,추동,77.71428571428571
