조사일,채수위치,TN(㎎/L),TP(㎎/L)
2019-10-28,문의,1.303,0.021
2019-11-04,문의,1.062,0.014
2019-11-05,추동,2.004,0.014
2019-11-05,회남,2.332,0.017
2019-11-11,문의,1.139,0.021
2019-11-18,문의,1.08,0.019
2019-11-25,문의,1.165,0.016
2019-12-02,문의,1.384,0.02
2019-12-04,추동,2.056,0.023
2019-12-04,회남,1.772,0.036
2019-12-09,문의,1.321,0.024
2019-12-16,문의,1.246,0.013
2019-12-23,문의,1.317,0.034
2020-01-02,추동,1.899,0.011
2020-01-02,회남,1.696,0.008
2020-01-06,문의,1.072,0.02
2020-01-13,문의,1.178,0.016
2020-01-20,문의,1.43,0.017
2020-01-28,문의,1.304,0.03
2020-02-03,문의,1.292,0.013
2020-02-04,추동,1.812,0.009
2020-02-04,회남,2.276,0.011
2020-02-10,문의,1.356,0.009
2020-02-17,문의,1.345,0.014
2020-02-24,문의,1.483,0.014
2020-03-02,문의,1.31,0.027
2020-03-03,추동,1.953,0.016
2020-03-03,회남,3.093,0.036
2020-03-09,문의,1.271,0.015
2020-03-16,문의,1.35,0.015
2020-03-23,문의,1.297,0.012
2020-03-30,문의,1.269,0.011
2020-04-02,추동,1.889,0.011
2020-04-02,회남,2.404,0.015
2020-04-06,문의,1.259,0.01
2020-04-13,문의,1.455,0.009
2020-04-20,문의,1.377,0.013
2020-04-27,문의,1.387,0.01
2020-05-04,문의,1.586,0.013
2020-05-07,추동,1.85,0.01
2020-05-07,회남,2.162,0.019
2020-05-11,문의,1.271,0.011
2020-05-18,문의,1.417,0.014
2020-05-25,문의,1.315,0.009
2020-06-01,문의,1.446,0.022
2020-06-03,추동,2.058,0.009
2020-06-03,회남,1.793,0.011
2020-06-08,문의,1.286,0.032
2020-06-15,문의,1.371,0.017
2020-06-22,문의,1.284,0.016
2020-06-29,문의,1.277,0.027
2020-07-02,추동,2.188,0.011
2020-07-02,회남,1.999,0.018
2020-07-06,문의,1.245,0.04
2020-07-13,문의,1.216,0.017
2020-07-20,문의,1.313,0.034
2020-07-27,문의,1.572,0.026
2020-08-04,문의,1.691,0.05
2020-08-18,문의,1.379,0.034
2020-08-18,추동,2.278,0.013
2020-08-24,문의,1.225,0.052
2020-08-24,회남,1.995,0.013
2020-08-31,문의,1.339,0.039
2020-09-01,추동,2.037,0.03
2020-09-08,문의,1.476,0.045
2020-09-09,회남,2.347,0.017
2020-09-14,문의,1.451,0.061
2020-09-21,문의,1.559,0.027
2020-10-05,문의,1.378,0.03
2020-10-06,추동,1.592,0.02
2020-10-06,회남,1.805,0.018
2020-10-12,문의,1.636,0.026
2020-10-19,문의,1.603,0.021
2020-10-26,문의,1.65,0.039
2020-11-02,문의,1.52,0.039
2020-11-05,추동,2.402,0.016
2020-11-05,회남,2.436,0.024
2020-11-09,문의,1.472,0.027
2020-11-16,문의,1.386,0.019
2020-11-23,문의,1.41,0.017
2020-11-30,문의,1.467,0.027
2020-12-01,추동,1.985,0.029
2020-12-01,회남,1.989,0.026
2020-12-07,문의,1.621,0.023
2020-12-14,문의,1.396,0.018
2020-12-21,문의,1.338,0.018
2021-01-07,추동,1.926,0.017
2021-01-07,회남,,
2021-01-13,문의,1.327,0.01
2021-01-18,문의,1.301,0.007
2021-01-25,문의,1.234,0.021
2021-01-25,문의,1.266,0.02
2021-02-01,문의,1.363,0.017
2021-02-05,추동,1.891,0.013
2021-02-05,회남,,
2021-02-08,문의,1.309,0.007
2021-02-15,문의,1.283,0.013
2021-02-22,문의,1.262,0.01
2021-03-02,문의,1.245,0.007
2021-03-04,추동,2.163,0.014
2021-03-04,회남,2.05,0.021
2021-03-08,문의,1.213,0.012
2021-03-15,문의,1.216,0.013
2021-03-22,문의,1.231,0.011
2021-03-29,문의,1.215,0.013
2021-04-05,문의,1.229,0.015
2021-04-05,추동,2.203,0.015
2021-04-05,회남,2.351,0.012
2021-04-12,문의,1.183,0.016
2021-04-19,문의,1.078,0.008
2021-04-26,문의,1.15,0.007
2021-05-03,문의,1.234,0.013
2021-05-06,추동,2.355,0.015
2021-05-06,회남,2.575,0.013
2021-05-10,문의,1.241,0.012
2021-05-17,문의,1.253,0.009
2021-05-24,문의,1.333,0.008
2021-05-31,문의,1.431,0.009
2021-06-07,문의,1.366,0.01
2021-06-08,추동,1.975,0.008
2021-06-08,회남,2.049,0.016
2021-06-14,문의,1.215,0.009
2021-06-21,문의,1.27,0.012
2021-06-28,문의,1.222,0.013
2021-07-05,문의,1.172,0.027
2021-07-06,추동,2.591,0.011
2021-07-06,회남,2.99,0.01
2021-07-12,문의,1.14,0.031
2021-07-19,문의,1.053,0.032
2021-07-26,문의,1.002,0.021
2021-08-02,문의,0.983,0.028
2021-08-09,문의,0.822,0.016
2021-08-11,추동,2.273,0.009
2021-08-11,회남,2.528,0.01
2021-08-17,문의,0.922,0.02
2021-08-23,문의,1.024,0.019
2021-08-30,문의,1.077,0.014
2021-09-02,추동,2.265,0.013
2021-09-02,회남,2.647,0.02
2021-09-06,문의,1.0,0.015
2021-09-13,문의,1.097,0.017
2021-09-27,문의,1.073,0.014
2021-10-05,문의,1.112,0.015
2021-10-07,추동,2.197,0.008
2021-10-07,회남,2.556,0.016
2021-10-12,문의,1.248,0.014
2021-10-18,문의,1.173,0.009
2021-10-25,문의,1.162,0.007
2021-11-01,문의,1.339,0.011
2021-11-03,추동,2.292,0.008
2021-11-03,회남,2.223,0.033
2021-11-08,문의,1.354,0.007
2021-11-15,문의,1.205,0.007
2021-11-22,문의,1.173,0.01
2021-11-29,문의,1.226,0.004
2021-12-06,문의,1.222,0.007
2021-12-09,추동,2.291,0.008
2021-12-10,회남,2.449,0.019
2021-12-13,문의,1.24,0.01
2021-12-20,문의,1.199,0.008
2022-01-03,문의,1.233,0.009
2022-01-05,추동,2.334,0.017
2022-01-05,회남,2.44,0.017
2022-01-10,문의,1.232,0.009
2022-01-17,문의,1.219,0.007
2022-01-24,문의,1.288,0.011
2022-02-03,문의,1.228,0.008
2022-02-03,추동,2.47,0.014
2022-02-03,회남,,
2022-02-07,문의,1.229,0.008
2022-02-14,문의,1.227,0.008
2022-02-21,문의,1.273,0.007
2022-02-28,문의,1.207,0.006
2022-03-03,추동,1.957,0.009
2022-03-03,회남,2.382,0.033
2022-03-07,문의,1.194,0.007
2022-03-14,문의,1.16,0.008
2022-03-21,문의,1.233,0.007
2022-03-28,문의,1.143,0.008
2022-04-04,문의,1.172,0.005
2022-04-07,추동,2.368,0.01
2022-04-07,회남,2.691,0.028
2022-04-11,문의,1.166,0.004
2022-04-18,문의,1.227,0.004
2022-04-25,문의,1.155,0.007
2022-05-02,문의,1.161,0.012
2022-05-02,추동,2.97,0.012
2022-05-02,회남,2.413,0.013
2022-05-09,문의,1.21,0.009
2022-05-16,문의,1.209,0.007
2022-05-23,문의,1.145,0.008
2022-05-30,문의,1.2,0.008
2022-06-07,문의,1.218,0.01
2022-06-07,추동,2.692,0.008
2022-06-07,회남,2.471,0.013
2022-06-13,문의,1.19,0.007
2022-06-20,문의,1.206,0.013
2022-06-27,문의,1.192,0.015
2022-07-04,문의,1.067,0.011
2022-07-07,추동,2.52,0.009
2022-07-07,회남,2.332,0.028
2022-07-11,문의,1.076,0.02
2022-07-18,문의,0.956,0.011
2022-07-25,문의,0.968,0.011
2022-08-01,문의,0.843,0.012
2022-08-02,추동,2.046,0.009
2022-08-02,회남,3.009,0.035
2022-08-08,문의,0.848,0.011
2022-08-22,문의,0.908,0.016
2022-08-29,문의,0.989,0.018
2022-09-02,추동,2.091,0.018
2022-09-02,회남,3.364,0.048
2022-09-05,문의,1.069,0.02
2022-09-13,문의,1.165,0.018
2022-09-19,문의,1.261,0.014
2022-09-26,문의,1.366,0.014
2022-10-04,문의,1.304,0.014
2022-10-11,문의,1.524,0.011
2022-10-12,추동,2.799,0.033
2022-10-12,회남,3.304,0.056
2022-10-17,문의,1.427,0.013
2022-10-24,문의,1.457,0.012
2022-10-31,문의,1.494,0.013
2022-11-07,문의,1.509,0.007
2022-11-07,추동,2.764,0.011
2022-11-07,회남,2.8,0.016
2022-11-14,문의,1.466,0.009
2022-11-21,문의,1.472,0.011
2022-11-28,문의,1.473,0.008
2022-12-05,문의,1.491,0.009
2022-12-06,추동,2.511,0.024
2022-12-06,회남,2.781,0.018
2022-12-12,문의,1.414,0.01
2022-12-19,문의,1.399,0.008
2023-01-02,문의,1.446,0.009
2023-01-04,추동,2.693,0.011
2023-01-04,회남,,
2023-01-09,문의,1.392,0.006
2023-01-16,문의,1.364,0.005
2023-01-30,문의,1.388,0.008
2023-02-01,추동,2.345,0.018
2023-02-01,회남,,
2023-02-06,문의,1.457,0.008
2023-02-13,문의,1.369,0.006
2023-02-20,문의,1.415,0.006
2023-02-27,문의,1.356,0.005
2023-03-06,문의,1.367,0.008
2023-03-07,추동,1.979,0.027
2023-03-07,회남,2.314,0.02
2023-03-13,문의,1.359,0.004
2023-03-20,문의,1.499,0.008
2023-03-27,문의,1.403,0.011
2023-04-03,문의,1.41,0.014
2023-04-04,추동,2.202,0.012
2023-04-04,회남,2.586,0.018
2023-04-10,문의,1.33,0.012
2023-04-17,문의,1.302,0.013
2023-04-24,문의,1.428,0.005
2023-05-02,문의,1.324,0.011
2023-05-08,문의,1.306,0.006
2023-05-09,추동,3.099,0.01
2023-05-09,회남,3.651,0.033
2023-05-15,문의,1.421,0.01
2023-05-22,문의,1.338,0.011
2023-05-30,문의,1.22,0.019
2023-06-05,문의,1.276,0.011
2023-06-12,문의,1.291,0.011
2023-06-15,추동,3.316,0.009
2023-06-15,회남,3.652,0.018
2023-06-19,문의,1.134,0.016
2023-06-26,문의,1.186,0.013
2023-07-03,문의,1.203,0.006
2023-07-05,추동,3.503,0.017
2023-07-05,회남,3.691,0.049
2023-07-10,문의,1.155,0.023
2023-07-26,문의,1.505,0.02
2023-07-31,문의,1.258,0.021
2023-08-02,추동,3.404,0.044
2023-08-02,회남,3.129,0.052
2023-08-07,문의,1.22,0.023
2023-08-14,문의,1.013,0.034
2023-08-21,문의,1.038,0.029
2023-08-28,문의,1.171,0.038
2023-09-04,문의,0.887,0.03
2023-09-06,추동,3.511,0.03
2023-09-06,회남,2.994,0.023
2023-09-11,문의,0.861,0.052
2023-09-18,문의,1.171,0.032
2023-09-25,문의,1.168,0.025
2023-10-04,문의,1.155,0.026
2023-10-10,문의,1.188,0.028
2023-10-11,추동,2.917,0.02
2023-10-11,회남,3.103,0.023
2023-10-16,문의,1.131,0.017
2023-10-23,문의,1.283,0.015
2023-10-30,문의,1.244,0.015
2023-11-06,문의,1.32,0.011
2023-11-09,추동,3.024,0.009
2023-11-09,회남,2.679,0.014
2023-11-13,문의,1.272,0.015
2023-11-20,문의,1.383,0.023
2023-11-27,문의,1.565,0.013
2023-12-04,문의,1.332,0.013
2023-12-11,문의,1.645,0.018
2023-12-13,추동,3.245,0.013
