유해남조류 세포수 (cells/㎖),7일 전_수온(℃),7일 전_pH,7일 전_DO(㎎/L),7일 전_투명도,7일 전_탁도,7일 전_Chl-a (㎎/㎥),7일 전_평균기온(°C),7일 전_일강수량(mm),7일 전_합계 일조시간(hr),7일 전_합계 일사량(MJ/m2),7일 전_TN(㎎/L),7일 전_TP(㎎/L),7일 전_N_P_비율,7일 전_체류시간_지표,7일 전_유해남조류 세포수 (cells/㎖)
0.0,15.7,7.6,8.6,3.1,2.3,15.2,8.7,0.1,0.0,2.33,1.676,0.009,186.22220153086653,29.6256984984235,0.0
0.0,13.8,7.5,9.5,3.2,2.2,15.9,2.8,0.0,8.0,11.58,1.325,0.005,264.9999470000106,28.73063654403908,0.0
0.0,12.8,7.4,9.0,3.0,1.8,16.6,8.9,0.2,3.7,6.22,1.257,0.012,104.74999127083406,28.823742118926937,0.0
38.0,11.5,7.5,9.4,4.0,1.9,10.3,4.3,0.0,6.5,8.18,1.304,0.005,260.7999478400104,32.50682863462416,0.0
0.0,10.6,8.4,9.4,3.0,2.0,5.5,7.8,1.8,0.9,3.97,1.279,0.011,116.27271670248032,32.024487233151945,38.0
0.0,9.8,8.4,9.4,3.3,2.0,2.4,3.1,10.8,0.0,1.48,1.377,0.009,152.99998300000192,32.22959540809184,0.0
0.0,8.9,8.2,9.2,3.8,1.5,1.6,4.7,0.0,4.5,7.77,1.435,0.028,51.24999816964292,32.21278224263299,0.0
0.0,8.7,8.3,10.1,4.2,1.8,1.8,4.3,0.0,6.4,8.35,1.349,0.01,134.89998651000136,32.692315860262624,0.0
0.0,7.1,7.6,9.8,3.5,1.5,2.0,-3.9,0.0,9.1,13.58,1.331,0.003,443.6665187778271,32.59988637170655,0.0
0.0,6.1,7.6,9.5,3.3,1.5,1.8,-6.5,0.0,8.9,14.14,1.361,0.009,151.22220541975497,32.04265486103791,0.0
0.0,5.9,8.1,10.0,4.5,1.3,1.6,-4.2,0.0,7.9,13.67,1.259,0.011,114.45453504958772,31.328032429061423,0.0
0.0,5.7,8.6,11.2,3.4,2.0,1.6,0.0,0.0,8.7,14.07,1.484,0.016,92.74999420312535,31.453790929784628,0.0
0.0,5.1,7.0,11.0,4.0,1.4,1.9,0.3,0.6,5.7,11.33,1.319,0.01,131.8999868100013,31.061006662248424,0.0
120.0,5.6,7.7,11.4,3.6,3.2,2.1,1.3,15.3,7.0,15.09,1.404,0.003,467.999844000052,31.115316963343417,0.0
0.0,5.9,7.6,11.9,4.3,1.3,2.5,4.2,0.0,10.1,18.64,1.419,0.004,354.74991131252216,32.00923370834218,120.0
0.0,6.1,7.9,11.8,2.1,1.7,2.3,1.8,0.0,10.8,21.82,1.335,0.005,266.9999466000107,32.0828793774319,0.0
0.0,6.3,7.5,12.2,4.3,1.3,2.3,8.0,0.0,9.3,20.41,1.247,0.007,178.1428316938812,31.75044769830401,0.0
36.0,6.5,7.5,12.3,3.9,1.8,2.4,8.6,0.1,2.3,7.39,1.963,0.005,392.59992148001567,31.113484507529854,0.0
130.0,8.1,7.8,12.5,3.5,1.7,2.3,6.4,1.6,5.2,10.9,1.302,0.013,100.15383844970476,30.56171043171625,36.0
0.0,7.8,7.7,12.6,4.6,1.6,1.9,12.0,0.0,11.7,25.31,1.255,0.006,209.1666318055613,27.926878956936,130.0
22.0,10.2,7.7,13.3,5.2,1.2,1.8,15.1,0.0,10.3,25.92,1.336,0.006,222.6666295555617,28.76547262720865,0.0
0.0,11.2,8.0,12.2,3.9,2.2,1.7,13.7,26.8,1.9,3.39,1.312,0.008,163.99997950000258,29.629203481471716,22.0
0.0,12.7,8.2,11.7,5.9,2.0,1.9,15.2,0.0,12.0,29.0,1.245,0.009,138.3333179629647,30.004730713245998,0.0
34.0,14.2,7.7,11.5,2.4,1.2,3.2,18.2,0.0,4.2,16.62,1.279,0.007,182.7142596122486,18.17695957095709,0.0
0.0,16.6,8.2,10.5,3.4,1.6,3.4,16.7,0.0,13.2,31.16,1.37,0.013,105.38460727810715,17.58587054118031,34.0
0.0,17.8,8.8,8.7,4.1,1.5,3.1,21.7,0.0,13.3,30.86,1.296,0.013,99.69230002366923,17.085241497221713,0.0
0.0,18.8,8.3,11.7,3.9,1.5,3.7,24.1,0.0,12.2,28.74,1.239,0.01,123.89998761000123,16.628900673057313,0.0
0.0,20.4,8.9,11.8,2.3,2.0,6.7,22.6,0.0,12.3,29.88,1.309,0.009,145.44442828395242,11.101007663922797,0.0
48.0,21.4,9.0,11.8,1.9,2.4,11.0,22.1,0.0,9.1,25.05,1.204,0.008,150.49998118750236,10.6292194092827,0.0
0.0,22.4,9.2,12.8,1.9,2.7,13.4,26.1,0.0,12.4,28.64,1.217,0.007,173.85711802041172,13.180120782314807,48.0
0.0,23.4,9.3,12.3,2.7,2.3,4.8,23.9,1.8,4.1,15.51,1.233,0.015,82.19999452000037,11.045017531953398,0.0
0.0,25.5,9.0,9.6,1.1,13.2,2.9,25.3,69.9,0.6,8.72,1.05,0.008,131.24998359375206,14.470702260803607,0.0
0.0,26.3,8.9,10.1,0.8,6.0,6.3,25.8,35.0,0.6,7.68,1.127,0.012,93.91665884027844,29.32989345056255,0.0
980.0,26.3,8.5,9.0,1.7,6.4,2.1,25.6,7.1,0.0,8.58,1.027,0.023,44.6521719716447,30.184612153458414,0.0
1960.0,26.6,8.4,8.4,2.8,3.4,2.4,28.8,0.7,0.0,8.75,1.083,0.013,83.30768589940878,26.948200604377156,980.0
2660.0,26.5,8.3,7.2,0.9,3.0,3.7,25.1,29.2,0.0,3.86,1.19,0.021,56.66666396825409,32.59856375982083,1960.0
5224.0,27.8,8.2,5.3,4.5,2.0,4.2,29.4,0.0,11.2,24.26,1.062,0.02,53.09999734500013,25.443602354269125,2660.0
9540.0,27.2,8.3,5.4,2.8,3.4,6.0,22.4,65.0,0.2,6.15,1.122,0.021,53.428568884353865,35.10844797936371,5224.0
918.0,26.9,8.3,5.3,2.5,2.5,5.0,24.7,36.1,0.1,6.86,1.064,0.027,39.407405947873855,4.509515830171238,9540.0
4724.0,26.6,8.4,4.3,1.8,3.6,7.3,24.8,35.2,3.8,12.7,1.381,0.032,43.15624865136723,4.326038389450432,918.0
1242.0,26.3,8.6,5.9,1.8,5.8,8.5,22.4,0.0,8.5,21.18,1.165,0.031,37.58064394901149,24.873576449266487,4724.0
1444.0,25.6,8.1,5.3,2.7,3.3,9.3,20.4,77.0,0.3,6.29,1.106,0.03,36.86666543777783,33.65269008155749,1242.0
1618.0,25.1,7.8,6.8,2.6,2.7,7.6,21.3,0.0,10.8,21.21,0.977,0.018,54.27777476234585,34.52742547071129,1444.0
506.0,24.7,8.1,7.4,2.1,2.8,9.2,23.1,0.0,8.3,18.79,1.102,0.014,78.71428009183714,33.96044650922699,1618.0
392.0,23.5,8.4,10.3,2.0,2.6,15.9,22.3,0.0,5.0,12.58,1.28,0.029,44.13792951248519,35.904006225891585,604.0
