"盒幅锅龋","螟沥家疙","斥/岿/老","雀瞒","版档","困档","盲荐矫阿","TN(Х/L)","TP(Х/L)"
"3008B50","措没达3","2016/04/05","1雀瞒 吝摸何","127∑30'23.8""","36∑30'43.2""","12:20","1.940","0.009"
"3008B10","措没达4","2016/04/05","1雀瞒 吝摸何","127∑38'8.4""","36∑22'18.5""","10:45","3.385","0.018"
"3008B30","措没达5(措没龋)","2016/04/05","1雀瞒 吝摸何","127∑33'9.3""","36∑25'59.2""","11:30","2.834","0.012"
"3008B20","措没达6","2016/04/05","1雀瞒 吝摸何","127∑33'25.1""","36∑23'18.6""","11:10","3.716","0.010"
"3008B60","措没达2","2016/04/05","1雀瞒 窍摸何","127∑29'5.4""","36∑28'37""","12:00","2.061","0.008"
"3008B50","措没达3","2016/04/05","1雀瞒 窍摸何","127∑30'23.8""","36∑30'43.2""","12:20","1.925","0.012"
"3008B10","措没达4","2016/04/05","1雀瞒 窍摸何","127∑38'8.4""","36∑22'18.5""","10:45","3.850","0.017"
"3008B30","措没达5(措没龋)","2016/04/05","1雀瞒 窍摸何","127∑33'9.3""","36∑25'59.2""","11:30","2.777","0.008"
"3008B20","措没达6","2016/04/05","1雀瞒 窍摸何","127∑33'25.1""","36∑23'18.6""","11:10","3.315","0.012"
"3008B40","措没达1","2016/04/11","2雀瞒 惑摸何","127∑29'44""","36∑22'16""","14:05","1.040","0.017"
"3008B40","措没达1","2016/04/11","2雀瞒 吝摸何","127∑29'44""","36∑22'16""","14:10","1.018","0.010"
"3008B40","措没达1","2016/04/11","2雀瞒 窍摸何","127∑29'44""","36∑22'16""","14:15","1.169","0.012"
"3008B40","措没达1","2016/04/18","3雀瞒 惑摸何","127∑29'44""","36∑22'16""","11:10","0.923","0.011"
"3008B40","措没达1","2016/04/18","3雀瞒 吝摸何","127∑29'44""","36∑22'16""","11:15","0.955","0.008"
"3008B40","措没达1","2016/04/18","3雀瞒 窍摸何","127∑29'44""","36∑22'16""","11:20","1.095","0.013"
"3008B40","措没达1","2016/04/25","4雀瞒 惑摸何","127∑29'44""","36∑22'16""","13:35","1.322","0.005"
"3008B40","措没达1","2016/04/25","4雀瞒 吝摸何","127∑29'44""","36∑22'16""","13:40","1.176","0.015"
"3008B40","措没达1","2016/04/25","4雀瞒 窍摸何","127∑29'44""","36∑22'16""","13:45","1.144","0.006"
"3008B40","措没达1","2016/05/02","1雀瞒 惑摸何","127∑29'44""","36∑22'16""","14:10","1.514","0.007"
"3008B40","措没达1","2016/05/02","1雀瞒 吝摸何","127∑29'44""","36∑22'16""","14:15","1.565","0.005"
"3008B40","措没达1","2016/05/02","1雀瞒 窍摸何","127∑29'44""","36∑22'16""","14:20","1.256","0.005"
"3008B60","措没达2","2016/05/03","1雀瞒 惑摸何","127∑29'5.4""","36∑28'37""","12:30","3.202","0.014"
"3008B50","措没达3","2016/05/03","1雀瞒 惑摸何","127∑30'23.8""","36∑30'43.2""","12:50","2.698","0.023"
"3008B10","措没达4","2016/05/03","1雀瞒 惑摸何","127∑38'8.4""","36∑22'18.5""","11:10","4.368","0.031"
"3008B30","措没达5(措没龋)","2016/05/03","1雀瞒 惑摸何","127∑33'9.3""","36∑25'59.2""","00:00","4.309","0.023"
"3008B20","措没达6","2016/05/03","1雀瞒 惑摸何","127∑33'25.1""","36∑23'18.6""","00:00","4.374","0.031"
"3008B60","措没达2","2016/05/03","1雀瞒 吝摸何","127∑29'5.4""","36∑28'37""","12:30","2.877","0.010"
"3008B50","措没达3","2016/05/03","1雀瞒 吝摸何","127∑30'23.8""","36∑30'43.2""","12:50","2.987","0.020"
"3008B10","措没达4","2016/05/03","1雀瞒 吝摸何","127∑38'8.4""","36∑22'18.5""","11:10","4.699","0.023"
"3008B30","措没达5(措没龋)","2016/05/03","1雀瞒 吝摸何","127∑33'9.3""","36∑25'59.2""","00:00","5.338","0.012"
"3008B20","措没达6","2016/05/03","1雀瞒 吝摸何","127∑33'25.1""","36∑23'18.6""","00:00","4.497","0.026"
"3008B60","措没达2","2016/05/03","1雀瞒 窍摸何","127∑29'5.4""","36∑28'37""","12:30","2.828","0.006"
"3008B50","措没达3","2016/05/03","1雀瞒 窍摸何","127∑30'23.8""","36∑30'43.2""","12:50","4.131","0.021"
"3008B10","措没达4","2016/05/03","1雀瞒 窍摸何","127∑38'8.4""","36∑22'18.5""","11:10","5.158","0.018"
